document,program,safe,yucca,problem,sci,storage,trans,Year,Congress
CST.1978.burstein.txt,0.137077653,0.032305868,0.052015412,0.087285122,0.073799644,0.578986366,0.038529935,1978,95
CST.1978.coulter.txt,0.140900196,0.072407045,0.03816047,0.048434442,0.59295499,0.03816047,0.068982388,1978,95
CST.1978.winchester.txt,0.148247978,0.162761767,0.052456977,0.08583869,0.450134771,0.051005598,0.049554219,1978,95
CST.1978.morgan.txt,0.18981019,0.084915085,0.084915085,0.084915085,0.133866134,0.364635365,0.056943057,1978,95
CST.1978.roisman.txt,0.204988662,0.057369615,0.025623583,0.198639456,0.081179138,0.392290249,0.039909297,1978,95
CST.1978.deutch.txt,0.22408458,0.144662197,0.038164002,0.094120681,0.234914905,0.211449201,0.052604435,1978,95
CST.1978.meyers.txt,0.263205664,0.319114177,0.021782538,0.019241242,0.255581775,0.042112906,0.078961699,1978,95
CST.1978.hoffman0062.txt,0.017202693,0.313014211,0.027673897,0.133694839,0.375841436,0.103590127,0.028982797,1978,95
CST.1978.sivinski.txt,0.018323334,0.50072969,0.034214367,0.196529917,0.076212097,0.094373277,0.079617318,1978,95
CST.1978.watt.txt,0.025871766,0.319178853,0.045556805,0.149887514,0.327052868,0.079021372,0.053430821,1978,95
CST.1978.germain.txt,0.029040774,0.102962746,0.049574655,0.15224406,0.536227633,0.029040774,0.100909358,1978,95
CST.1978.debuchananne.txt,0.034927992,0.227280252,0.014070518,0.027975501,0.613143519,0.040721735,0.041880483,1978,95
CST.1978.heath.txt,0.037267081,0.296857874,0.023200585,0.110157106,0.441359152,0.037267081,0.053891122,1978,95
CST.1978.healy.txt,0.052160374,0.531724406,0.0358116,0.087582717,0.182950564,0.063059556,0.046710782,1978,95
CST.1978.luth.txt,0.055478502,0.155802127,0.058714748,0.149329635,0.392048081,0.107258437,0.08136847,1978,95
CST.1978.heath.colin.txt,0.06537079,0.196778059,0.027160165,0.045799494,0.564904806,0.06537079,0.034615897,1978,95
CST.1978.ginter.txt,0.085592446,0.213524216,0.03868413,0.087724642,0.264696924,0.155954919,0.153822723,1978,95
CST.1978.legassie.txt,0.308099308,0.125763126,0.083028083,0.125763126,0.145706146,0.12006512,0.091575092,1978,95
PWO.1978.donath.txt,0.03024453,0.204418704,0.013728014,0.036250536,0.572286572,0.096310596,0.046761047,1978,95
PWO.1978.debuchananne.txt,0.039103233,0.24956552,0.018421967,0.029370872,0.595064303,0.031803963,0.036670143,1978,95
PWO.1978.buckham.txt,0.067683253,0.389780631,0.03023007,0.086409845,0.151952916,0.23434992,0.039593365,1978,95
PWO.1978.schmitt.txt,0.074544196,0.153704131,0.063235634,0.202169398,0.189245327,0.28617586,0.030925456,1978,95
PWO.1978.varanini.txt,0.110143703,0.113693998,0.071682164,0.062806424,0.501859679,0.109551987,0.030262046,1978,95
PWO.1978.dufrane.txt,0.138815922,0.181248737,0.076581128,0.111941806,0.08506769,0.288745201,0.117599515,1978,95
PWO.1978.burstein.txt,0.144078144,0.08994709,0.058608059,0.11986162,0.028693529,0.521571022,0.037240537,1978,95
PWO.1978.franklin.txt,0.146895507,0.115093387,0.077990914,0.141595154,0.17163049,0.164563352,0.182231196,1978,95
PWO.1978.lash.txt,0.155305906,0.202064673,0.070289965,0.093669349,0.301958403,0.121299529,0.055412176,1978,95
PWO.1978.neel.txt,0.17898715,0.286923658,0.080574452,0.185336357,0.041421013,0.152532124,0.074225246,1978,95
